Usuario,Maquina do Usuario,Impressora,Status,Data e Hora
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:10:50
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:10:27
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:09:42
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:09:39
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:02:24
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 14:02:21
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,02/08/2024 14:00:29
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:59:48
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:59:45
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:54:03
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:54:01
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:53:42
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:49:14
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:49:11
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:46:14
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:46:11
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:42:35
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:42:32
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:41:58
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:41:13
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 13:01:30
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 12:59:31
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 12:58:31
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 12:57:30
alexandrina.bueno,PC0602,IMP-FINANCEIRO,Spooler Operation Succeeded,02/08/2024 12:55:24
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 12:19:59
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 12:13:05
estagiarios.cabana,PC0403,IMP-ADMINISTRACAO,Spooler Operation Succeeded,02/08/2024 12:08:45
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 12:00:59
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:59:58
monique.barros,PC0901,IMP-DELIVERY,Spooler Operation Succeeded,02/08/2024 11:59:11
